"ELEMNTIN","ELEMENTOUT","CONVRULE","DOMAINID","STARTDATE","ENDDATE","SIGN"
"52200_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52230","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52230_1 ","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52150","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52150_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52160","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52160_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52180","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52180_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52190","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52190_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52230_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52210","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52210_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52220","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52220_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52120","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52120_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52130","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52130_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52220_1 ","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52330","P","RTYP33","TYPINS","1900-01-01","9999-12-31","1"
"52330_1","P","RTYP33","TYPINS","1900-01-01","9999-12-31","1"
"52850","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52850_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52860","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52860_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52870","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"524870_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52880","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52880_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52620","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52620_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52630","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52630_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52880","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52880_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52960","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52960_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52585","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52585_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52590","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52590_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52850","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52850_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52930","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52930_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52925","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52925_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52600","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52600_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52610","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52610_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52860","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52860_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52940","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52940_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52870","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52870_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52950","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52950_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52930","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52930_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52940","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52940_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52950","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52950_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52960","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52960_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52925","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52925_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52600","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52600_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52610","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52610_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52860","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52860_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52870","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52870_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52940","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52940_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52950","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52950_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52585","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52585_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52600","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52600_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52620","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52620_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52590","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52590_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52610","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52610_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52630","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52630_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52020","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52020_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52030","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52030_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52350","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52350_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52460","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52460_1","D2","RTYP31","TYPINS","1900-01-01","9999-12-31","1"
"52060","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52060_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52070","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52070_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52380","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52380_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52490","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52490_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52520","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52520_1","D1","RTYP30","TYPINS","1900-01-01","9999-12-31","1"
"52020","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52020_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52060","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52060_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52000","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52000_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52030","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52030_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52070","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52070_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52010","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52010_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52370","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52370_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52480","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52480_1","U1","RTYP28","TYPINS","1900-01-01","9999-12-31","1"
"52000","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52000_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52010","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52010_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52360","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52360_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52470","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52470_1","U2","RTYP29","TYPINS","1900-01-01","9999-12-31","1"
"52000","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52000_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52010","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52010_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52360","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52360_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52370","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52370_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52470","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52470_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52480","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52480_1","D3","RTYP32","TYPINS","1900-01-01","9999-12-31","1"
"52350","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52350_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52380","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52380_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52360","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52360_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52370","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52370_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52460","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52460_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52470","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52470_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52480","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52480_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52490","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52490_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52520","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
"52520_1","D","RTYP27","TYPINS","1900-01-01","9999-12-31","1"
